label,face_index,sticker_index,sample_index,r,g,b,h_cos,h_sin,s,v
U,2,2,3,0.8810294117647058,0.9062058823529412,0.39985294117647063,0.45425062718375186,0.8908739347983912,0.5587614812891499,0.9062058823529412
U,2,2,4,0.8646078431372549,0.925,0.384843137254902,0.39541259468283946,0.918503609119847,0.5839533651298358,0.925
U,2,2,5,0.8694117647058824,0.9259411764705883,0.3874117647058824,0.40197657950428406,0.9156499492328037,0.5816021853757704,0.9259411764705883
U,2,2,6,0.8768137254901961,0.9243627450980393,0.39199019607843133,0.4169326120274183,0.9089373999500704,0.5759346661717135,0.9243627450980393
U,2,2,7,0.8741470588235294,0.9141078431372549,0.40362745098039216,0.4274076529287556,0.9040590125749162,0.558446572786066,0.9141078431372549
U,2,2,8,0.8749019607843137,0.9158725490196079,0.4057450980392157,0.42548134919888786,0.9049671935953778,0.5569851957310611,0.9158725490196079
U,2,2,9,0.8818627450980392,0.9167941176470589,0.40705882352941175,0.4366179710615397,0.899647012636681,0.5559975618363223,0.9167941176470589
U,2,3,0,0.882,0.9075522875816994,0.4261535947712418,0.45111500821467276,0.8924658253196454,0.5304363168905806,0.9075522875816994
U,2,3,1,0.8856274509803922,0.8978627450980393,0.43929411764705883,0.4756105545259417,0.8796559557142362,0.5107335502609683,0.8978627450980393
U,2,3,2,0.8820882352941176,0.9010784313725491,0.432843137254902,0.4627790885989625,0.8864736404177587,0.5196387770645197,0.9010784313725491
U,2,3,3,0.8817843137254903,0.9030392156862745,0.42733333333333334,0.4589465969871458,0.8884638547031153,0.5267831940071653,0.9030392156862745
U,2,3,4,0.8840392156862745,0.9004117647058825,0.43857843137254904,0.46751218040885645,0.8839866295195629,0.5129134818492629,0.9004117647058825
U,2,3,5,0.8823529411764706,0.903578431372549,0.43190196078431375,0.45864945777484983,0.8886172825704192,0.5220094395920359,0.903578431372549
U,2,3,6,0.8811470588235294,0.9048039215686274,0.42668627450980395,0.454476400861368,0.8907587782672126,0.5284212807454761,0.9048039215686274
U,2,3,7,0.8826078431372549,0.9148921568627452,0.4158823529411765,0.44022432544232903,0.8978878233325399,0.5454301910650564,0.9148921568627452
U,2,3,8,0.8801764705882352,0.9227941176470589,0.41483333333333333,0.42208086454853816,0.9065581855468289,0.5504594953519256,0.9227941176470589
U,2,3,9,0.8781764705882353,0.9195098039215686,0.40802941176470586,0.4250105197880799,0.9051884102602431,0.5562533319117177,0.9195098039215686
U,2,4,0,0.8713594771241829,0.9282832244008714,0.3906535947712418,0.40110464474236013,0.9160322395888176,0.5791655127416789,0.9282832244008714
U,2,4,1,0.8714313725490196,0.9130392156862746,0.39507843137254905,0.42546648278394616,0.9049741830723449,0.5672930312466444,0.9130392156862746
U,2,4,2,0.865343137254902,0.9138823529411765,0.40012745098039215,0.41201124090552566,0.9111787625748796,0.5621674390662548,0.9138823529411765
U,2,4,3,0.8666764705882353,0.9130196078431372,0.40297058823529414,0.4154616190760388,0.909610709630618,0.5586397216733958,0.9130196078431372
U,2,4,4,0.877235294117647,0.9205392156862745,0.39366666666666666,0.4237025968649409,0.9058013631088802,0.5723520954257415,0.9205392156862745
U,2,4,5,0.8718823529411766,0.9188627450980392,0.40156862745098043,0.41550035405303876,0.9095930165638914,0.5629721309376466,0.9188627450980392
U,2,4,6,0.872578431372549,0.9199607843137255,0.4017745098039216,0.4149103269665618,0.9098623085810845,0.5632699603563665,0.9199607843137255
U,2,4,7,0.8725686274509804,0.952,0.3756372549019608,0.37025113338211624,0.9289316972895576,0.6054230515735705,0.952
U,2,4,8,0.8729607843137256,0.9508823529411764,0.37242156862745096,0.3732743804182357,0.927720990882163,0.6083410660892876,0.9508823529411764
U,2,4,9,0.8715588235294117,0.9523627450980392,0.3726372549019608,0.3687251506561321,0.9295384678826437,0.6087234020650395,0.9523627450980392
U,2,5,0,0.8979640522875817,0.9174749455337691,0.4645174291938998,0.4604404618146782,0.8876905886196417,0.49370014793847844,0.9174749455337691
U,2,5,1,0.902843137254902,0.9026078431372548,0.46868627450980394,0.5004914195933494,0.8657414965874247,0.4808774025409925,0.902843137254902
U,2,5,2,0.9020686274509804,0.9038823529411765,0.47472549019607846,0.4961623282400638,0.8682297760589642,0.4747928326608529,0.9038823529411765
U,2,5,3,0.9045980392156864,0.903578431372549,0.4883725490196078,0.5022199415516,0.8647399206165444,0.4601220344861222,0.9045980392156864
U,2,5,4,0.9011176470588235,0.9100196078431373,0.4661078431372549,0.48170462738268277,0.8763336419184823,0.4878046152851695,0.9100196078431373
U,2,5,5,0.8999117647058823,0.9097156862745098,0.47565686274509805,0.4793782561933154,0.8776083907353303,0.4771367912836374,0.9097156862745098
U,2,5,6,0.9012058823529412,0.908235294117647,0.4860392156862745,0.4848252169488826,0.8746110615642069,0.46485319516407597,0.908235294117647
U,2,5,7,0.8899901960784313,0.9389705882352941,0.43121568627450985,0.41011599760729534,0.9120333702812485,0.5407569825110937,0.9389705882352941
U,2,5,8,0.8894607843137254,0.9405490196078431,0.43720588235294117,0.4053032271103285,0.9141823090029436,0.535158855903936,0.9405490196078431
U,2,5,9,0.8904803921568627,0.9397156862745097,0.4526470588235294,0.40569847671991094,0.9140069726140736,0.5183148845604114,0.9397156862745097
U,2,6,0,0.8778932461873639,0.9174270152505447,0.4228355119825708,0.4258435674877272,0.9047968037240879,0.5391071933203356,0.9174270152505447
U,2,6,1,0.8807254901960785,0.9265,0.4165,0.416515063670582,0.9091288147097148,0.5504587155963303,0.9265
U,2,6,2,0.880078431372549,0.9327843137254902,0.41092156862745094,0.4057838932032442,0.9139690541899206,0.5594677541410915,0.9327843137254902
U,2,6,3,0.8808627450980392,0.9344019607843138,0.4056764705882353,0.40553003900837814,0.9140817181531765,0.5658437293435038,0.9344019607843138
U,2,6,4,0.881264705882353,0.9004803921568627,0.4415392156862745,0.46156009734194986,0.887108942882265,0.5096625983951921,0.9004803921568627
U,2,6,5,0.8820392156862745,0.9015196078431373,0.44208823529411767,0.46106628645959297,0.8873656965932144,0.509618835299875,0.9015196078431373
U,2,6,6,0.8829019607843138,0.9018333333333334,0.4399901960784314,0.46237618725521723,0.886683856546023,0.5121158424559993,0.9018333333333334
U,2,6,7,0.8698431372549019,0.9157156862745098,0.421578431372549,0.41358093488579256,0.9104673581732592,0.5396186417995139,0.9157156862745098
U,2,6,8,0.8725196078431373,0.9196470588235294,0.4157549019607843,0.41291986203308434,0.9107673619199245,0.5479190652850624,0.9196470588235294
U,2,6,9,0.8708039215686275,0.9239607843137255,0.4114705882352941,0.40317220136303794,0.9151241314969691,0.554666610075973,0.9239607843137255
U,2,7,0,0.8645501089324619,0.9286132897603485,0.43777668845315904,0.37733815980316593,0.9260755439791942,0.5285694343593359,0.9286132897603485
U,2,7,1,0.8651862745098039,0.9423137254901961,0.42504901960784314,0.35924146573351035,0.9332446460053436,0.5489304590286737,0.9423137254901961
U,2,7,2,0.8647843137254903,0.9428529411764707,0.4241960784313726,0.3578587745224844,0.9337757211971544,0.5500930633974899,0.9428529411764707
U,2,7,3,0.8635980392156862,0.9419313725490196,0.4232156862745098,0.3573764124885942,0.9339604380254991,0.5506937144165618,0.9419313725490196
U,2,7,4,0.8690490196078432,0.9045294117647059,0.4585686274509804,0.426196687206818,0.9046305233706929,0.49303071687151806,0.9045294117647059
U,2,7,5,0.868078431372549,0.9046274509803922,0.45809803921568626,0.42402431091473575,0.9056508067424682,0.4936058609328941,0.9046274509803922
U,2,7,6,0.8692156862745098,0.9043529411764707,0.45683333333333337,0.4271853271315208,0.9041640870348344,0.49485061359004384,0.9043529411764707
U,2,7,7,0.8599117647058824,0.9383627450980392,0.4332352941176471,0.353171856832975,0.9355584639888352,0.538307230992655,0.9383627450980392
U,2,7,8,0.8611274509803922,0.9391176470588235,0.42914705882352944,0.35550101649776517,0.9346758942377061,0.5430316316943313,0.9391176470588235
